Alabama 27,690 55.5 52.7 55.5 48.7 42.7
Arizona 33,569 50.6 46.6 58.4 38.1 54.7
Arkansas 13,941 49.9 52.7 41.0 56.2 40.3
California 177,085 51.4 49.0 43.2 39.1 65.0
Colorado 28,995 45.3 47.5 58.8 34.3 57.9
Connecticut 17,769 57.6 38.6 34.2 53.4 53.9
Delaware 4,957 47.0 38.8 36.5 62.4 42.7
District of Columbia 6,774 64.8 21.4 44.1 41.6 77.5
Florida 81,002 60.9 50.7 62.7 40.8 61.0
Georgia 52,631 63.2 60.0 68.8 38.0 56.9
Idaho 9,314 40.7 52.9 44.5 44.2 44.7
Illinois 72,011 62.5 48.3 50.9 51.2 55.2
Indiana 36,483 48.9 50.2 56.2 59.3 44.9
Iowa 19,821 62.8 56.6 52.2 49.1 33.7
Kansas 18,039 45.5 48.9 50.8 49.0 40.1
Kentucky 21,791 53.4 48.1 51.3 62.5 43.0
Louisiana 17,414 52.2 49.7 45.0 60.4 53.7
Maine 8,963 44.2 32.8 24.0 71.0 50.8
Maryland 30,568 35.2 37.3 37.5 49.4 56.6
Massachusetts 38,270 44.4 40.7 32.2 63.8 59.6
Michigan 59,221 55.2 54.7 53.0 48.6 43.4
Minnesota 38,597 52.9 61.6 52.5 43.4 38.5
Mississippi 10,479 56.8 63.3 59.7 52.0 46.2
Missouri 34,558 62.9 59.3 60.8 48.3 45.7
Montana 5,052 33.1 52.3 56.1 43.0 55.0
Nebraska 12,102 60.0 62.9 64.3 41.6 34.3
Nevada 10,196 46.4 31.8 55.8 44.0 61.3
New Hampshire 8,076 40.2 53.5 38.0 61.8 48.7
New Jersey 39,549 59.9 44.6 40.8 56.4 57.6
New Mexico 9,408 32.4 45.4 58.5 51.6 62.0
New York 86,855 47.0 29.8 37.7 62.7 64.5
North Carolina 45,940 51.0 63.6 68.4 44.8 49.6
North Dakota 4,808 52.4 52.4 51.4 49.6 21.8
Ohio 61,683 54.6 45.9 46.5 58.5 46.0
Oklahoma 19,515 39.7 54.3 54.7 52.1 42.2
Oregon 25,403 30.9 59.1 45.8 39.5 58.8
Pennsylvania 67,938 54.6 42.8 52.4 61.4 49.6
Rhode Island 5,322 43.3 35.2 48.5 61.9 59.4
South Carolina 17,375 60.0 55.4 69.6 45.7 55.3
South Dakota 4,581 58.7 56.7 55.8 36.1 41.9
Tennessee 29,738 51.3 66.6 62.0 49.0 50.1
Texas 116,094 55.2 52.3 54.4 44.3 52.7
Utah 20,715 55.8 69.4 54.5 30.4 47.7
Vermont 4,118 26.5 60.0 38.2 55.8 54.2
Virginia 45,898 48.5 47.4 45.3 44.7 57.1
Washington 44,150 30.6 55.8 45.0 36.9 56.6
West Virginia 8,349 38.5 51.8 42.6 79.2 36.8
Wisconsin 40,731 69.8 57.8 47.6 48.6 35.7
Wyoming 3,166 46.0 40.7 42.4 46.1 42.4
